Team,Games Played,Goals Scored,GSPG,Goals Allowed,GAPG,Year,Conference
Vancouver Canucks,82,182,2.2,243,3.0,2017,West
Tampa Bay Lightning*,82,296,3.6,236,2.9,2018,East
Boston Bruins*,82,270,3.3,214,2.6,2018,East
Toronto Maple Leafs*,82,277,3.4,232,2.8,2018,East
Florida Panthers,82,248,3.0,246,3.0,2018,East
Detroit Red Wings,82,217,2.6,255,3.1,2018,East
Montreal Canadiens,82,209,2.5,264,3.2,2018,East
Ottawa Senators,82,221,2.7,291,3.5,2018,East
Buffalo Sabres,82,199,2.4,280,3.4,2018,East
Washington Capitals*,82,259,3.2,239,2.9,2018,East
Pittsburgh Penguins*,82,272,3.3,250,3.0,2018,East
Philadelphia Flyers*,82,251,3.1,243,3.0,2018,East
Columbus Blue Jackets*,82,242,3.0,230,2.8,2018,East
New Jersey Devils*,82,248,3.0,244,3.0,2018,East
Carolina Hurricanes,82,228,2.8,256,3.1,2018,East
New York Islanders,82,264,3.2,296,3.6,2018,East
New York Rangers,82,231,2.8,268,3.3,2018,East
Nashville Predators*,82,267,3.3,211,2.6,2018,West
Winnipeg Jets*,82,277,3.4,218,2.7,2018,West
Minnesota Wild*,82,253,3.1,232,2.8,2018,West
Colorado Avalanche*,82,257,3.1,237,2.9,2018,West
St. Louis Blues,82,226,2.8,222,2.7,2018,West
Dallas Stars,82,235,2.9,225,2.7,2018,West
Chicago Blackhawks,82,229,2.8,256,3.1,2018,West
Vegas Golden Knights*,82,272,3.3,228,2.8,2018,West
Anaheim Ducks*,82,235,2.9,216,2.6,2018,West
San Jose Sharks*,82,252,3.1,229,2.8,2018,West
Los Angeles Kings*,82,239,2.9,203,2.5,2018,West
Calgary Flames,82,218,2.7,248,3.0,2018,West
Edmonton Oilers,82,234,2.9,263,3.2,2018,West
Vancouver Canucks,82,218,2.7,264,3.2,2018,West
Arizona Coyotes,82,208,2.5,256,3.1,2018,West
Tampa Bay Lightning*,82,325,4.0,222,2.7,2019,East
Boston Bruins*,82,259,3.2,215,2.6,2019,East
Toronto Maple Leafs*,82,286,3.5,251,3.1,2019,East
Montreal Canadiens,82,249,3.0,236,2.9,2019,East
Florida Panthers,82,267,3.3,280,3.4,2019,East
Buffalo Sabres,82,226,2.8,271,3.3,2019,East
Detroit Red Wings,82,227,2.8,277,3.4,2019,East
Ottawa Senators,82,242,3.0,302,3.7,2019,East
Washington Capitals*,82,278,3.4,249,3.0,2019,East
New York Islanders*,82,228,2.8,196,2.4,2019,East
Pittsburgh Penguins*,82,273,3.3,241,2.9,2019,East
Carolina Hurricanes*,82,245,3.0,223,2.7,2019,East
Columbus Blue Jackets*,82,258,3.1,232,2.8,2019,East
Philadelphia Flyers,82,244,3.0,281,3.4,2019,East
New York Rangers,82,227,2.8,272,3.3,2019,East
New Jersey Devils,82,222,2.7,275,3.4,2019,East
Nashville Predators*,82,240,2.9,214,2.6,2019,West
Winnipeg Jets*,82,272,3.3,244,3.0,2019,West
St. Louis Blues*,82,247,3.0,223,2.7,2019,West
Dallas Stars*,82,210,2.6,202,2.5,2019,West
Colorado Avalanche*,82,260,3.2,246,3.0,2019,West
Chicago Blackhawks,82,270,3.3,292,3.6,2019,West
Minnesota Wild,82,211,2.6,237,2.9,2019,West
Calgary Flames*,82,289,3.5,227,2.8,2019,West
San Jose Sharks*,82,289,3.5,261,3.2,2019,West
Vegas Golden Knights*,82,249,3.0,230,2.8,2019,West
Arizona Coyotes,82,213,2.6,223,2.7,2019,West
Vancouver Canucks,82,225,2.7,254,3.1,2019,West
Anaheim Ducks,82,199,2.4,251,3.1,2019,West
Edmonton Oilers,82,232,2.8,274,3.3,2019,West
Los Angeles Kings,82,202,2.5,263,3.2,2019,West
Boston Bruins*,70,227,3.2,174,2.5,2020,East
Tampa Bay Lightning*,70,245,3.5,195,2.8,2020,East
Toronto Maple Leafs*,70,238,3.4,227,3.2,2020,East
Florida Panthers*,69,231,3.3,228,3.3,2020,East
Montreal Canadiens*,71,212,3.0,221,3.1,2020,East
Buffalo Sabres,69,195,2.8,217,3.1,2020,East
Ottawa Senators,71,191,2.7,243,3.4,2020,East
Detroit Red Wings,71,145,2.0,267,3.8,2020,East
Washington Capitals*,69,240,3.5,215,3.1,2020,East
Philadelphia Flyers*,69,232,3.4,196,2.8,2020,East
Pittsburgh Penguins*,69,224,3.2,196,2.8,2020,East
Carolina Hurricanes*,68,222,3.3,193,2.8,2020,East
Columbus Blue Jackets*,70,180,2.6,187,2.7,2020,East
New York Islanders*,68,192,2.8,193,2.8,2020,East
New York Rangers*,70,234,3.3,222,3.2,2020,East
